Model,Lift@10%,Cap@10%,Brier,ROC,FN,vs_best
histgb_dNone_i400,6.565656565656566,0.6565656565656566,0.010114744200946825,0.876579935106376,136,+5.7%
histgb_dNone_i400_platt,6.565656565656566,0.6565656565656566,0.010941601230664922,0.876579935106376,136,+5.7%
histgb_dNone_i400_temp0.5,6.565656565656566,0.6565656565656566,0.010546062307434486,0.876579935106376,136,+5.7%
histgb_dNone_i400_temp0.7,6.565656565656566,0.6565656565656566,0.010318597567589308,0.876579935106376,136,+5.7%
histgb_dNone_i400_temp1.0,6.565656565656566,0.6565656565656566,0.010114744200947068,0.876579935106376,136,+5.7%
histgb_dNone_i400_temp1.5,6.565656565656566,0.6565656565656566,0.011094101453079675,0.876579935106376,136,+5.7%
histgb_dNone_i400_temp2.0,6.565656565656566,0.6565656565656566,0.014530415549443086,0.876579935106376,136,+5.7%
histgb_dNone_i400_iso,6.48989898989899,0.648989898989899,0.010629457453771276,0.8753382079288199,139,+4.5%
histgb_dNone_i200,6.4646464646464645,0.6464646464646465,0.010126440853223657,0.8745241439091707,140,+4.1%
histgb_dNone_i200_platt,6.4646464646464645,0.6464646464646465,0.01088867047215897,0.8745241439091707,140,+4.1%
histgb_dNone_i200_temp0.5,6.4646464646464645,0.6464646464646465,0.01056871144458408,0.8745241439091707,140,+4.1%
histgb_dNone_i200_temp0.7,6.4646464646464645,0.6464646464646465,0.010340297519829565,0.8745241439091707,140,+4.1%
histgb_dNone_i200_temp1.0,6.4646464646464645,0.6464646464646465,0.010126440853228915,0.8745241439091707,140,+4.1%
histgb_dNone_i200_temp1.5,6.4646464646464645,0.6464646464646465,0.011129978821335826,0.8745241439091707,140,+4.1%
histgb_dNone_i200_temp2.0,6.4646464646464645,0.6464646464646465,0.014698908156207186,0.8745241439091707,140,+4.1%
voting_top3,6.439393939393939,0.6439393939393939,0.02067427260343949,0.8753282763977951,141,+3.7%
voting_weighted_top3,6.439393939393939,0.6439393939393939,0.020399526848989682,0.8753558560451016,141,+3.7%
xgb_base_ext,6.388888888888888,0.6388888888888888,0.10608698427677155,0.8732330091510128,143,+2.9%
xgb_reg_ext,6.388888888888888,0.6388888888888888,0.10675057768821716,0.8725845301899966,143,+2.9%
histgb_dNone_i200_iso,6.388888888888888,0.6388888888888888,0.010540664363596606,0.8734249234843412,143,+2.9%
xgb_base_ext_platt,6.388888888888888,0.6388888888888888,0.01031867991348145,0.8732330091510128,143,+2.9%
xgb_base_ext_temp0.5,6.388888888888888,0.6388888888888888,0.11862985789775848,0.8732330091510128,143,+2.9%
xgb_base_ext_temp0.7,6.388888888888888,0.6388888888888888,0.1109103411436081,0.8732330091510128,143,+2.9%
xgb_base_ext_temp1.0,6.388888888888888,0.6388888888888888,0.10608698427677155,0.8732330091510128,143,+2.9%
xgb_base_ext_temp1.5,6.388888888888888,0.6388888888888888,0.10772565752267838,0.8732330091510127,143,+2.9%
xgb_base_ext_temp2.0,6.388888888888888,0.6388888888888888,0.11445064097642899,0.8732330091510128,143,+2.9%
xgb_reg_ext_platt,6.388888888888888,0.6388888888888888,0.010322019769211202,0.8725845301899966,143,+2.9%
xgb_reg_ext_temp0.5,6.388888888888888,0.6388888888888888,0.1196165382862091,0.8725845301899967,143,+2.9%
xgb_reg_ext_temp0.7,6.388888888888888,0.6388888888888888,0.11178066581487656,0.8725845301899966,143,+2.9%
xgb_reg_ext_temp1.0,6.388888888888888,0.6388888888888888,0.10675058513879776,0.8725845301899967,143,+2.9%
