Model,ROC,Lift_5,Lift_10,Lift_20,Cap_10,Brier,ECE,FN,FP,CV_Lift10
M0_baseline,0.863985110420048,8.787878787878787,5.883838383838383,3.7373737373737375,0.5883838383838383,0.11706201509379441,0.21760428083550318,163,3341,6.06+/-0.14
M1c_competing,0.8484063608098071,9.747474747474746,6.161616161616161,3.813131313131313,0.6161616161616161,0.0100620477929625,0.001290765991771618,152,3330,-
M2c_mono_selective,0.8142638649174596,7.171717171717171,4.823232323232323,3.484848484848485,0.4823232323232323,0.13442096697431516,0.22889676175946738,205,3383,5.44+/-0.27
M2d_mono_reg,0.8127707771201533,6.96969696969697,4.722222222222221,3.472222222222222,0.4722222222222222,0.14965356941673472,0.2583668486520216,209,3387,5.30+/-0.35
M2e_mono_iso,0.81182163713358,7.3232323232323235,4.7727272727272725,3.4217171717171717,0.4772727272727273,0.010594973609268218,0.001769875532549108,207,3385,-
M3_clean_iso,0.8406788437240011,9.14141414141414,6.085858585858586,3.762626262626262,0.6085858585858586,0.010276774943935335,0.0035575464014462542,155,3333,-
M4_competing_iso,0.8490519460513519,9.696969696969697,6.212121212121212,3.8257575757575757,0.6212121212121212,0.010393360193229517,0.004502458549350418,150,3328,-
M5_ext_clean,0.8426746884857401,9.292929292929292,5.984848484848484,3.813131313131313,0.5984848484848485,0.10783122351123621,0.19017069851057106,159,3337,6.66+/-0.23
M5b_ext_clean_iso,0.8369436234855129,9.292929292929292,5.9595959595959584,3.80050505050505,0.5959595959595959,0.010243169184099165,0.003954163384104672,160,3338,-
