GID,DDP,DDP_year,DHS,DHS_year,MAT,DIAMETRE,STATUT_OBJET,LNG,age
410966779,2009-01-01T00:00:00.000Z,2009,,,FT,100,EN SERVICE,82.726,6188
410966789,2009-01-01T00:00:00.000Z,2009,,,FT,100,EN SERVICE,3.052,6188
410000670,1963-01-01T00:00:00.000Z,1963,,,FT,300,EN SERVICE,71.43,22990
410000672,1963-01-01T00:00:00.000Z,1963,,,FT,300,EN SERVICE,75.729,22990
410967885,2024-06-10T00:00:00.000Z,2024,,,FT,100,EN SERVICE,6.002,549
410000677,1988-01-01T00:00:00.000Z,1988,,,FT,100,EN SERVICE,39.018,13859
410000678,1988-01-01T00:00:00.000Z,1988,,,FT,100,EN SERVICE,24.807,13859
410000679,1988-01-01T00:00:00.000Z,1988,,,FT,100,EN SERVICE,51.443,13859
410000690,1977-01-01T00:00:00.000Z,1977,,,FT,150,EN SERVICE,1.197,17876
410000695,1963-01-01T00:00:00.000Z,1963,,,FT,300,EN SERVICE,46.95,22990
410000698,1963-01-01T00:00:00.000Z,1963,,,FT,100,EN SERVICE,9.645,22990
410001234,1949-01-01T00:00:00.000Z,1949,2004-12-31T23:00:00.000Z,2004,FTG,100,ABANDONNE,14.888,20454
410001235,1989-01-01T00:00:00.000Z,1989,,,FT,100,EN SERVICE,69.997,13493
410001236,1989-01-01T00:00:00.000Z,1989,,,FT,100,EN SERVICE,59.31,13493
410001237,1989-01-01T00:00:00.000Z,1989,,,FT,100,EN SERVICE,81.921,13493
410001238,1949-01-01T00:00:00.000Z,1949,2004-12-31T23:00:00.000Z,2004,FTG,100,ABANDONNE,26.244,20454
410001239,1949-01-01T00:00:00.000Z,1949,2004-12-31T23:00:00.000Z,2004,FTG,100,ABANDONNE,22.966,20454
410001240,1949-01-01T00:00:00.000Z,1949,2004-12-31T23:00:00.000Z,2004,FTG,100,ABANDONNE,4.316,20454
410001245,1988-01-01T00:00:00.000Z,1988,2004-12-31T23:00:00.000Z,2004,FT,100,ABANDONNE,13.46,6210
410001246,1979-01-01T00:00:00.000Z,1979,,,BTM,1000,EN SERVICE,46.609,17146
410001249,1979-01-01T00:00:00.000Z,1979,,,BTM,1000,EN SERVICE,88.323,17146
410001252,1988-01-01T00:00:00.000Z,1988,,,FT,150,EN SERVICE,2.054,13859
410001256,1979-01-01T00:00:00.000Z,1979,,,BTM,1000,EN SERVICE,51.651,17146
410001258,1988-01-01T00:00:00.000Z,1988,,,FT,150,EN SERVICE,72.557,13859
410001259,1988-01-01T00:00:00.000Z,1988,,,FT,150,EN SERVICE,91.583,13859
410001261,1926-01-01T00:00:00.000Z,1926,2021-06-08T22:00:00.000Z,2021,FTG,250,ABANDONNE,4.206,34857
410001262,1926-01-01T00:00:00.000Z,1926,2021-06-08T22:00:00.000Z,2021,FTG,250,ABANDONNE,186.25,34857
410001264,1926-01-01T00:00:00.000Z,1926,2021-06-08T22:00:00.000Z,2021,FTG,250,ABANDONNE,10.43,34857
410001265,1905-01-01T00:00:00.000Z,1905,2021-06-21T22:00:00.000Z,2021,FTG,200,ABANDONNE,98.992,42540
410000195,1949-01-01T00:00:00.000Z,1949,,,FTG,80,EN SERVICE,29.773,28103
410000197,1966-01-01T00:00:00.000Z,1966,2019-05-21T22:00:00.000Z,2019,FT,100,ABANDONNE,10.582,19498
410000198,1966-01-01T00:00:00.000Z,1966,2019-05-21T22:00:00.000Z,2019,FT,100,ABANDONNE,99.605,19498
410000200,1983-01-01T00:00:00.000Z,1983,,,FT,150,EN SERVICE,85.322,15685
410000201,1983-01-01T00:00:00.000Z,1983,,,FT,150,EN SERVICE,7.511,15685
410000203,1983-01-01T00:00:00.000Z,1983,,,FT,150,EN SERVICE,165.19,15685
410000204,1983-01-01T00:00:00.000Z,1983,,,FT,150,EN SERVICE,9.641,15685
410000205,1966-01-01T00:00:00.000Z,1966,2019-05-21T22:00:00.000Z,2019,FT,100,ABANDONNE,2.644,19498
410000206,1983-01-01T00:00:00.000Z,1983,,,FT,100,EN SERVICE,111.706,15685
410000207,1983-01-01T00:00:00.000Z,1983,,,FT,80,EN SERVICE,50.772,15685
410000209,1983-01-01T00:00:00.000Z,1983,,,FT,80,EN SERVICE,156.37,15685
410000210,1983-01-01T00:00:00.000Z,1983,,,FT,80,EN SERVICE,47.569,15685
410000212,1967-01-01T00:00:00.000Z,1967,2018-11-21T23:00:00.000Z,2018,FT,100,ABANDONNE,3.517,18953
410000213,1967-01-01T00:00:00.000Z,1967,2018-11-21T23:00:00.000Z,2018,FT,100,ABANDONNE,96.384,18953
410000214,1967-01-01T00:00:00.000Z,1967,2018-11-21T23:00:00.000Z,2018,FT,100,ABANDONNE,3.312,18953
410000702,1949-01-01T00:00:00.000Z,1949,2004-11-16T13:46:18.000Z,2004,FTG,250,ABANDONNE,7.252,20408
410000703,1949-01-01T00:00:00.000Z,1949,2004-11-16T13:45:55.000Z,2004,FTG,150,ABANDONNE,9.178,20408
410000704,1949-01-01T00:00:00.000Z,1949,2004-11-16T13:45:30.000Z,2004,FTG,250,ABANDONNE,11.606,20408
410000705,1949-01-01T00:00:00.000Z,1949,2004-11-16T13:45:05.000Z,2004,FTG,250,ABANDONNE,43.082,20408
410000706,1963-01-01T00:00:00.000Z,1963,,,FT,100,EN SERVICE,7.545,22990
410000708,1974-01-01T00:00:00.000Z,1974,,,FT,100,EN SERVICE,0.501,18972
410000714,1949-01-01T00:00:00.000Z,1949,,,FTG,100,EN SERVICE,17.167,28103
410000716,1949-01-01T00:00:00.000Z,1949,,,FTG,100,EN SERVICE,11.803,28103
410000717,1966-01-01T00:00:00.000Z,1966,2023-12-31T23:00:00.000Z,2023,FT,150,ABANDONNE,62.171,21184
410000719,1984-01-01T00:00:00.000Z,1984,,,FT,100,EN SERVICE,18.4,15320
410000721,1978-01-01T00:00:00.000Z,1978,,,FT,100,EN SERVICE,30.425,17511
410000731,1949-01-01T00:00:00.000Z,1949,,,FTG,100,EN SERVICE,10.497,28103
410000733,1949-01-01T00:00:00.000Z,1949,2006-06-07T12:09:28.000Z,2006,FTG,100,ABANDONNE,109.473,20976
410000751,1959-01-01T00:00:00.000Z,1959,2009-10-27T07:13:44.000Z,2009,FTG,100,ABANDONNE,83.945,18562
410000760,1978-01-01T00:00:00.000Z,1978,,,FT,100,EN SERVICE,27.211,17511
410902105,2015-06-25T00:00:00.000Z,2015,,,FTBLU,110,EN SERVICE,26.947,3822
410902106,2015-06-25T00:00:00.000Z,2015,,,FTBLU,110,EN SERVICE,7.597,3822
410902107,2015-06-25T00:00:00.000Z,2015,,,FTBLU,110,EN SERVICE,47.289,3822
410001270,1949-01-01T00:00:00.000Z,1949,,,FTG,60,EN SERVICE,27.608,28103
410001272,1993-01-01T00:00:00.000Z,1993,,,FT,150,EN SERVICE,14.705,12032
410001274,1993-01-01T00:00:00.000Z,1993,,,FT,100,EN SERVICE,5.689,12032
410001276,1949-01-01T00:00:00.000Z,1949,,,FTG,60,EN SERVICE,65.5,28103
410001277,1993-01-01T00:00:00.000Z,1993,,,FT,100,EN SERVICE,81.94,12032
410001278,1993-01-01T00:00:00.000Z,1993,,,FT,100,EN SERVICE,10.749,12032
410001279,1949-01-01T00:00:00.000Z,1949,,,FTG,100,EN SERVICE,10.28,28103
410001281,1970-01-01T00:00:00.000Z,1970,,,FT,100,EN SERVICE,102.043,20433
410001283,1971-01-01T00:00:00.000Z,1971,,,FT,100,EN SERVICE,84.6,20068
410001284,1949-01-01T00:00:00.000Z,1949,,,FTG,100,EN SERVICE,10.31,28103
410001290,1975-01-01T00:00:00.000Z,1975,,,FT,100,EN SERVICE,129.033,18607
410001291,1975-01-01T00:00:00.000Z,1975,,,FT,100,EN SERVICE,61.478,18607
410001292,1949-01-01T00:00:00.000Z,1949,2015-07-05T22:00:00.000Z,2015,FTG,40,ABANDONNE,6.887,24291
410000215,1967-01-01T00:00:00.000Z,1967,2018-11-21T23:00:00.000Z,2018,FT,100,ABANDONNE,73.973,18953
410000217,1980-01-01T00:00:00.000Z,1980,,,FT,100,EN SERVICE,114.043,16781
410000218,1983-01-01T00:00:00.000Z,1983,,,FT,80,EN SERVICE,34.748,15685
410000219,1949-01-01T00:00:00.000Z,1949,,,FTG,100,EN SERVICE,27.909,28103
410000220,1983-01-01T00:00:00.000Z,1983,,,FT,200,EN SERVICE,81.679,15685
410000224,1983-01-01T00:00:00.000Z,1983,,,FT,100,EN SERVICE,44.91,15685
410000225,1983-01-01T00:00:00.000Z,1983,,,FT,100,EN SERVICE,7.475,15685
410000226,1983-01-01T00:00:00.000Z,1983,,,FT,100,EN SERVICE,134.552,15685
410000227,1983-01-01T00:00:00.000Z,1983,,,FT,100,EN SERVICE,91.82,15685
410000228,1983-01-01T00:00:00.000Z,1983,,,FT,100,EN SERVICE,85.581,15685
410000229,1983-01-01T00:00:00.000Z,1983,,,FT,100,EN SERVICE,29.946,15685
410000230,1983-01-01T00:00:00.000Z,1983,,,FT,200,EN SERVICE,123.675,15685
410000231,1983-01-01T00:00:00.000Z,1983,,,FT,200,EN SERVICE,26.23,15685
410000232,1983-01-01T00:00:00.000Z,1983,,,FT,200,EN SERVICE,50.041,15685
410000233,1983-01-01T00:00:00.000Z,1983,,,FT,200,EN SERVICE,40.598,15685
410000235,1949-01-01T00:00:00.000Z,1949,,,FTG,100,EN SERVICE,287.351,28103
410000236,1983-01-01T00:00:00.000Z,1983,,,FT,100,EN SERVICE,60.981,15685
410000764,1949-01-01T00:00:00.000Z,1949,2022-02-08T23:00:00.000Z,2022,FTG,100,ABANDONNE,80.444,26702
410000769,1960-01-01T00:00:00.000Z,1960,2008-07-09T14:19:20.000Z,2008,POLY,36,ABANDONNE,92.057,17722
410000773,1988-01-01T00:00:00.000Z,1988,,,FT,80,EN SERVICE,59.219,13859
410000777,1986-01-01T00:00:00.000Z,1986,,,FT,150,EN SERVICE,7.446,14589
410000778,1986-01-01T00:00:00.000Z,1986,,,FT,100,EN SERVICE,6.673,14589
410000786,1989-01-01T00:00:00.000Z,1989,,,FT,200,EN SERVICE,1.122,13493
410000788,1977-01-01T00:00:00.000Z,1977,,,FT,100,EN SERVICE,32.086,17876
410000789,1977-01-01T00:00:00.000Z,1977,,,FT,100,EN SERVICE,26.165,17876
410000791,1949-01-01T00:00:00.000Z,1949,,,FTG,300,EN SERVICE,22.485,28103
410000792,1949-01-01T00:00:00.000Z,1949,,,FTG,200,EN SERVICE,4.366,28103
410000799,1949-01-01T00:00:00.000Z,1949,,,FTG,80,EN SERVICE,22.454,28103
410000801,1949-01-01T00:00:00.000Z,1949,,,FTG,100,EN SERVICE,34.32,28103
410000804,1949-01-01T00:00:00.000Z,1949,,,FTG,80,EN SERVICE,20.637,28103
410000805,1949-01-01T00:00:00.000Z,1949,,,FTG,80,EN SERVICE,31.445,28103
410000807,1979-01-01T00:00:00.000Z,1979,,,FT,100,EN SERVICE,33.438,17146
410000810,1979-01-01T00:00:00.000Z,1979,,,FT,100,EN SERVICE,20.29,17146
410000811,1979-01-01T00:00:00.000Z,1979,,,FT,100,EN SERVICE,21.669,17146
410001293,1949-01-01T00:00:00.000Z,1949,2015-07-05T22:00:00.000Z,2015,FTG,40,ABANDONNE,1.795,24291
410001294,1975-01-01T00:00:00.000Z,1975,,,POLY,36,EN SERVICE,16.833,18607
410001295,1960-01-01T00:00:00.000Z,1960,2015-07-05T22:00:00.000Z,2015,POLY,36,ABANDONNE,3.142,20274
410001296,1970-01-01T00:00:00.000Z,1970,,,FT,100,EN SERVICE,34.512,20433
410001297,1970-01-01T00:00:00.000Z,1970,,,FT,150,EN SERVICE,121.863,20433
410001298,1970-01-01T00:00:00.000Z,1970,,,FT,150,EN SERVICE,10.336,20433
410001299,1987-01-01T00:00:00.000Z,1987,,,FT,300,EN SERVICE,199.606,14224
410840776,1970-01-01T00:00:00.000Z,1970,2020-01-13T23:00:00.000Z,2020,FT,100,ABANDONNE,5.723,18275
410001301,1987-01-01T00:00:00.000Z,1987,,,FT,300,EN SERVICE,14.123,14224
410001303,1964-01-01T00:00:00.000Z,1964,,,FT,300,EN SERVICE,27.187,22625
410001304,1964-01-01T00:00:00.000Z,1964,,,FT,300,EN SERVICE,4.827,22625
410001305,1960-01-01T00:00:00.000Z,1960,2020-02-24T23:00:00.000Z,2020,FTG,150,ABANDONNE,58.146,21970
410840777,1970-01-01T00:00:00.000Z,1970,2020-12-17T23:00:00.000Z,2020,FT,100,ABANDONNE,279.137,18614
410001312,1905-01-01T00:00:00.000Z,1905,2020-02-24T23:00:00.000Z,2020,FTG,100,ABANDONNE,10.607,42057
410000237,1983-01-01T00:00:00.000Z,1983,,,FT,80,EN SERVICE,88.913,15685
410000238,1983-01-01T00:00:00.000Z,1983,,,FT,80,EN SERVICE,29.627,15685
410000239,1983-01-01T00:00:00.000Z,1983,,,FT,80,EN SERVICE,35.544,15685
410000243,1983-01-01T00:00:00.000Z,1983,,,FT,200,EN SERVICE,88.808,15685
410000244,1949-01-01T00:00:00.000Z,1949,2007-06-13T09:08:42.000Z,2007,FTG,100,ABANDONNE,73.094,21347
410000246,1949-01-01T00:00:00.000Z,1949,,,FTG,100,EN SERVICE,3.465,28103
410000248,1983-01-01T00:00:00.000Z,1983,,,FT,150,EN SERVICE,19.729,15685
410000250,1983-01-01T00:00:00.000Z,1983,,,FT,100,EN SERVICE,64.708,15685
410000251,1983-01-01T00:00:00.000Z,1983,,,FT,150,EN SERVICE,16.746,15685
410000252,1983-01-01T00:00:00.000Z,1983,,,FT,150,EN SERVICE,80.789,15685
410000253,1983-01-01T00:00:00.000Z,1983,,,FT,80,EN SERVICE,46.101,15685
410000254,1983-01-01T00:00:00.000Z,1983,,,FT,80,EN SERVICE,49.686,15685
410000260,1993-01-01T00:00:00.000Z,1993,2006-05-23T12:34:29.000Z,2006,FT,300,ABANDONNE,9.257,4890
410000262,1983-01-01T00:00:00.000Z,1983,,,FT,200,EN SERVICE,17.807,15685
410000263,1983-01-01T00:00:00.000Z,1983,,,FT,200,EN SERVICE,85.869,15685
410000266,1983-01-01T00:00:00.000Z,1983,,,FT,200,EN SERVICE,7.069,15685
410000267,1983-01-01T00:00:00.000Z,1983,,,FT,80,EN SERVICE,54.993,15685
410000813,1977-01-01T00:00:00.000Z,1977,,,FT,100,EN SERVICE,45.481,17876
410000818,1985-01-01T00:00:00.000Z,1985,,,FT,150,EN SERVICE,1.918,14954
410000821,1949-01-01T00:00:00.000Z,1949,,,FTG,100,EN SERVICE,6.328,28103
410000826,1982-01-01T00:00:00.000Z,1982,,,FT,100,EN SERVICE,3.06,16050
410000831,1979-01-01T00:00:00.000Z,1979,,,FT,100,EN SERVICE,64.201,17146
410809118,1985-01-01T00:00:00.000Z,1985,,,ACIE,300,EN SERVICE,2.757,14954
410931528,1949-01-01T00:00:00.000Z,1949,2023-03-05T23:00:00.000Z,2023,FTG,100,ABANDONNE,7.229,27092
410000838,1949-01-01T00:00:00.000Z,1949,2005-06-08T07:40:32.000Z,2005,FTG,125,ABANDONNE,21.158,20612
410000842,1984-01-01T00:00:00.000Z,1984,,,FT,100,EN SERVICE,6.25,15320
410000855,1959-01-01T00:00:00.000Z,1959,2009-10-27T07:24:32.000Z,2009,FTG,100,ABANDONNE,108.758,18562
410000856,1959-01-01T00:00:00.000Z,1959,2007-08-03T09:23:52.000Z,2007,FTG,100,ABANDONNE,102.386,17746
410000859,1949-01-01T00:00:00.000Z,1949,2002-12-31T23:00:00.000Z,2002,FTG,80,ABANDONNE,37.483,19723
410000861,1983-01-01T00:00:00.000Z,1983,,,FT,200,EN SERVICE,76.544,15685
410000864,1983-01-01T00:00:00.000Z,1983,,,FT,100,EN SERVICE,1.702,15685
410000865,1983-01-01T00:00:00.000Z,1983,,,FT,100,EN SERVICE,14.358,15685
410001313,1905-01-01T00:00:00.000Z,1905,,,FTG,100,EN SERVICE,79.551,44174
410001314,1949-01-01T00:00:00.000Z,1949,,,FTG,100,EN SERVICE,72.371,28103
410001315,1949-01-01T00:00:00.000Z,1949,,,FTG,100,EN SERVICE,75.716,28103
410001316,1955-01-01T00:00:00.000Z,1955,,,FTG,100,EN SERVICE,30.611,25912
410001317,1955-01-01T00:00:00.000Z,1955,,,FTG,100,EN SERVICE,235.859,25912
410001327,1949-01-01T00:00:00.000Z,1949,,,FTG,100,EN SERVICE,69.251,28103
410001328,1975-01-01T00:00:00.000Z,1975,,,FT,100,EN SERVICE,176.604,18607
410001334,1905-01-01T00:00:00.000Z,1905,2012-08-28T08:10:02.000Z,2012,FTG,150,ABANDONNE,27.233,39321
410001335,1949-01-01T00:00:00.000Z,1949,2012-08-28T08:10:02.000Z,2012,FTG,150,ABANDONNE,1.208,23250
410001336,1905-01-01T00:00:00.000Z,1905,2012-08-28T08:10:01.000Z,2012,FTG,150,ABANDONNE,44.83,39321
410001337,1949-01-01T00:00:00.000Z,1949,2012-08-28T08:10:01.000Z,2012,FTG,150,ABANDONNE,2.758,23250
410001338,1905-01-01T00:00:00.000Z,1905,2012-08-28T08:10:01.000Z,2012,FTG,150,ABANDONNE,51.147,39321
410001339,1905-01-01T00:00:00.000Z,1905,2012-08-28T08:10:00.000Z,2012,FTG,150,ABANDONNE,18.653,39321
410001342,1955-01-01T00:00:00.000Z,1955,,,FTG,80,EN SERVICE,115.985,25912
410001343,1926-01-01T00:00:00.000Z,1926,,,FTG,250,EN SERVICE,37.507,36504
410000273,1983-01-01T00:00:00.000Z,1983,,,FT,80,EN SERVICE,89.407,15685
410000274,1983-01-01T00:00:00.000Z,1983,,,FT,80,EN SERVICE,35.025,15685
410000275,1983-01-01T00:00:00.000Z,1983,,,FT,80,EN SERVICE,35.227,15685
410000279,1983-01-01T00:00:00.000Z,1983,,,FT,200,EN SERVICE,37.235,15685
410000280,1983-01-01T00:00:00.000Z,1983,,,FT,200,EN SERVICE,71.14,15685
410000281,1993-01-01T00:00:00.000Z,1993,,,FT,300,EN SERVICE,2.244,12032
410000282,1949-01-01T00:00:00.000Z,1949,,,FTG,100,EN SERVICE,1.669,28103
410000284,1983-01-01T00:00:00.000Z,1983,,,FT,200,EN SERVICE,179.353,15685
410000285,1983-01-01T00:00:00.000Z,1983,,,FT,200,EN SERVICE,406.705,15685
410000286,1993-01-01T00:00:00.000Z,1993,,,FT,100,EN SERVICE,20.238,12032
410000289,1993-01-01T00:00:00.000Z,1993,,,FT,200,EN SERVICE,7.936,12032
410000290,1993-01-01T00:00:00.000Z,1993,,,FT,200,EN SERVICE,3.69,12032
410000296,1949-01-01T00:00:00.000Z,1949,2005-06-08T07:44:41.000Z,2005,FTG,200,ABANDONNE,33.026,20612
410000297,1949-01-01T00:00:00.000Z,1949,2005-06-08T07:39:51.000Z,2005,FTG,200,ABANDONNE,32.342,20612
410000302,1964-01-01T00:00:00.000Z,1964,2022-03-24T23:00:00.000Z,2022,FT,150,ABANDONNE,62.448,21268
410000303,1964-01-01T00:00:00.000Z,1964,2022-03-24T23:00:00.000Z,2022,FT,150,ABANDONNE,77.889,21268
410809119,1985-01-01T00:00:00.000Z,1985,,,ACIE,300,EN SERVICE,2.975,14954
410000881,1979-01-01T00:00:00.000Z,1979,,,FT,100,EN SERVICE,64.045,17146
410000891,1949-01-01T00:00:00.000Z,1949,2022-11-23T23:00:00.000Z,2022,FTG,100,ABANDONNE,16.157,26990
410000894,1970-01-01T00:00:00.000Z,1970,2023-03-05T23:00:00.000Z,2023,FT,100,ABANDONNE,7.228,19422
410000900,1989-01-01T00:00:00.000Z,1989,,,FT,100,EN SERVICE,85.155,13493
410000903,1989-01-01T00:00:00.000Z,1989,,,FT,100,EN SERVICE,36.28,13493
410000907,1949-01-01T00:00:00.000Z,1949,1988-12-31T23:00:00.000Z,1988,FTG,200,ABANDONNE,15.673,14610
410000909,1949-01-01T00:00:00.000Z,1949,,,FTG,100,EN SERVICE,8.862,28103
410000911,1989-01-01T00:00:00.000Z,1989,,,FT,200,EN SERVICE,21.37,13493
410000913,1967-01-01T00:00:00.000Z,1967,,,BTM,900,EN SERVICE,149.552,21529
410000914,1967-01-01T00:00:00.000Z,1967,,,FT,200,EN SERVICE,31.306,21529
410000915,1967-01-01T00:00:00.000Z,1967,,,FT,300,EN SERVICE,4.488,21529
410000918,1968-01-01T00:00:00.000Z,1968,,,BTM,1200,EN SERVICE,255.565,21164
410001344,1905-01-01T00:00:00.000Z,1905,,,FTG,250,EN SERVICE,163.827,44174
410001345,1905-01-01T00:00:00.000Z,1905,,,FTG,250,EN SERVICE,76.927,44174
410001348,1949-01-01T00:00:00.000Z,1949,,,FTG,150,EN SERVICE,1.898,28103
410001349,1905-01-01T00:00:00.000Z,1905,,,FTG,150,EN SERVICE,3.688,44174
410001350,1905-01-01T00:00:00.000Z,1905,,,FTG,150,EN SERVICE,18.908,44174
410001351,1978-01-01T00:00:00.000Z,1978,,,FT,150,EN SERVICE,54.392,17511
410001352,1949-01-01T00:00:00.000Z,1949,,,FTG,100,EN SERVICE,13.961,28103
410001353,1905-01-01T00:00:00.000Z,1905,,,FTG,100,EN SERVICE,10.1,44174
410001355,1955-01-01T00:00:00.000Z,1955,,,FTG,100,EN SERVICE,117.282,25912
410001358,1949-01-01T00:00:00.000Z,1949,,,FTG,100,EN SERVICE,16.247,28103
410001359,1971-01-01T00:00:00.000Z,1971,,,FT,200,EN SERVICE,103.366,20068
410001360,1971-01-01T00:00:00.000Z,1971,,,FT,200,EN SERVICE,132.452,20068
410001361,1971-01-01T00:00:00.000Z,1971,,,FT,100,EN SERVICE,38.611,20068
410001362,1949-01-01T00:00:00.000Z,1949,,,FTG,100,EN SERVICE,9.034,28103
410001368,1994-01-01T00:00:00.000Z,1994,,,FT,100,EN SERVICE,128.439,11667
410001369,1994-01-01T00:00:00.000Z,1994,,,FT,100,EN SERVICE,33.975,11667
410001370,1991-01-01T00:00:00.000Z,1991,,,FT,100,EN SERVICE,80.15,12763
410000304,1964-01-01T00:00:00.000Z,1964,2022-03-24T23:00:00.000Z,2022,FT,150,ABANDONNE,78.81,21268
410000305,1949-01-01T00:00:00.000Z,1949,,,FTG,100,EN SERVICE,177.377,28103
410000307,1983-01-01T00:00:00.000Z,1983,,,FT,100,EN SERVICE,1.32,15685
410000309,1984-01-01T00:00:00.000Z,1984,,,FT,200,EN SERVICE,99.114,15320
410000311,1984-01-01T00:00:00.000Z,1984,,,FT,200,EN SERVICE,1.632,15320
410000317,1978-01-01T00:00:00.000Z,1978,,,FT,100,EN SERVICE,36.193,17511
410000318,1949-01-01T00:00:00.000Z,1949,,,FTG,100,EN SERVICE,6.799,28103
410000319,1949-01-01T00:00:00.000Z,1949,,,FTG,60,EN SERVICE,79.742,28103
410000320,1949-01-01T00:00:00.000Z,1949,,,FTG,100,EN SERVICE,19.132,28103
410000321,1983-01-01T00:00:00.000Z,1983,,,FT,200,EN SERVICE,43.472,15685
410000322,1983-01-01T00:00:00.000Z,1983,,,FT,200,EN SERVICE,43.497,15685
410000323,1987-01-01T00:00:00.000Z,1987,,,FT,200,EN SERVICE,135.347,14224
410000327,1973-01-01T00:00:00.000Z,1973,,,FT,100,EN SERVICE,108.068,19337
410000329,1973-01-01T00:00:00.000Z,1973,,,FT,100,EN SERVICE,67.931,19337
410000330,1978-01-01T00:00:00.000Z,1978,,,FT,100,EN SERVICE,120.044,17511
410000334,1989-01-01T00:00:00.000Z,1989,,,FT,100,EN SERVICE,37.442,13493
410000335,1971-01-01T00:00:00.000Z,1971,,,FT,100,EN SERVICE,7.468,20068
410000921,1949-01-01T00:00:00.000Z,1949,2015-05-19T22:00:00.000Z,2015,FTG,150,ABANDONNE,209.817,24244
410000925,1949-01-01T00:00:00.000Z,1949,2004-10-12T09:18:58.000Z,2004,FTG,150,ABANDONNE,11.172,20373
410000926,1949-01-01T00:00:00.000Z,1949,2004-10-12T09:20:59.000Z,2004,FTG,60,ABANDONNE,137.803,20373
410000927,1949-01-01T00:00:00.000Z,1949,2022-12-06T23:00:00.000Z,2022,FTG,80,ABANDONNE,13.826,27003
410000928,1949-01-01T00:00:00.000Z,1949,2022-12-06T23:00:00.000Z,2022,FTG,80,ABANDONNE,28.428,27003
410000929,1949-01-01T00:00:00.000Z,1949,2022-12-06T23:00:00.000Z,2022,FTG,60,ABANDONNE,26.84,27003
410000930,1949-01-01T00:00:00.000Z,1949,2022-12-06T23:00:00.000Z,2022,FTG,60,ABANDONNE,21.872,27003
410000931,1949-01-01T00:00:00.000Z,1949,2022-12-06T23:00:00.000Z,2022,FTG,60,ABANDONNE,14.988,27003
410000933,1977-01-01T00:00:00.000Z,1977,,,BTM,600,EN SERVICE,35.862,17876
410000935,1977-01-01T00:00:00.000Z,1977,,,BTM,600,EN SERVICE,23.91,17876
410000938,1977-01-01T00:00:00.000Z,1977,,,BTM,600,EN SERVICE,13.172,17876
410000943,1949-01-01T00:00:00.000Z,1949,,,FTG,150,EN SERVICE,39.091,28103
410000945,1949-01-01T00:00:00.000Z,1949,2004-10-05T11:13:55.000Z,2004,FTG,100,ABANDONNE,73.822,20366
410000946,1949-01-01T00:00:00.000Z,1949,2004-10-12T09:45:50.000Z,2004,FTG,100,ABANDONNE,74.974,20373
410000947,1977-01-01T00:00:00.000Z,1977,,,FT,100,EN SERVICE,19.475,17876
410850875,2005-01-01T00:00:00.000Z,2005,,,FT,100,EN SERVICE,90.0,7649
410001372,1905-01-01T00:00:00.000Z,1905,2020-11-16T23:00:00.000Z,2020,FTG,250,ABANDONNE,12.632,42323
410001374,1905-01-01T00:00:00.000Z,1905,2020-11-16T23:00:00.000Z,2020,FTG,250,ABANDONNE,4.913,42323
410001377,1905-01-01T00:00:00.000Z,1905,2021-07-12T22:00:00.000Z,2021,FTG,250,ABANDONNE,10.208,42561
410001379,1955-01-01T00:00:00.000Z,1955,,,FTG,250,EN SERVICE,116.752,25912
410001381,1949-01-01T00:00:00.000Z,1949,2021-07-12T22:00:00.000Z,2021,FTG,100,ABANDONNE,0.977,26490
410001382,1955-01-01T00:00:00.000Z,1955,,,FTG,250,EN SERVICE,146.275,25912
410001384,1968-01-01T00:00:00.000Z,1968,,,FT,100,EN SERVICE,25.731,21164
410001385,1968-01-01T00:00:00.000Z,1968,,,FT,100,EN SERVICE,60.509,21164
410001386,1968-01-01T00:00:00.000Z,1968,,,FT,100,EN SERVICE,125.508,21164
410001387,1949-01-01T00:00:00.000Z,1949,2005-04-08T13:20:39.000Z,2005,FTG,80,ABANDONNE,76.049,20551
410001389,1975-01-01T00:00:00.000Z,1975,,,FT,100,EN SERVICE,198.22,18607
410001391,1905-01-01T00:00:00.000Z,1905,,,FTG,200,EN SERVICE,2.963,44174
410000337,1949-01-01T00:00:00.000Z,1949,2005-06-08T08:07:42.000Z,2005,FTG,125,ABANDONNE,102.321,20612
410000341,1949-01-01T00:00:00.000Z,1949,,,FTG,100,EN SERVICE,4.667,28103
410000346,1949-01-01T00:00:00.000Z,1949,,,FTG,40,EN SERVICE,59.283,28103
410000348,1949-01-01T00:00:00.000Z,1949,,,FTG,100,EN SERVICE,165.017,28103
410000350,1949-01-01T00:00:00.000Z,1949,,,FTG,120,EN SERVICE,102.657,28103
410000351,1949-01-01T00:00:00.000Z,1949,,,FTG,120,EN SERVICE,173.591,28103
410000352,1989-01-01T00:00:00.000Z,1989,,,FT,100,EN SERVICE,36.547,13493
410000354,1949-01-01T00:00:00.000Z,1949,,,FTG,120,EN SERVICE,3.008,28103
410000355,1949-01-01T00:00:00.000Z,1949,2022-03-24T23:00:00.000Z,2022,FTG,150,ABANDONNE,11.722,26746
410000357,1976-01-01T00:00:00.000Z,1976,,,FT,150,EN SERVICE,96.437,18242
410000359,1949-01-01T00:00:00.000Z,1949,,,FTG,120,EN SERVICE,8.275,28103
