GID,DDP,DDP_year,DHS,DHS_year,MAT,DIAMETRE,STATUT_OBJET,LNG,age
410526860,2007-01-01T00:00:00.000Z,2007,,,FT,100,EN SERVICE,6.476,6919
410526861,2010-01-01T00:00:00.000Z,2010,,,FT,150,EN SERVICE,2.531,5823
410526862,2007-01-01T00:00:00.000Z,2007,,,FT,100,EN SERVICE,96.519,6919
410526863,2007-01-01T00:00:00.000Z,2007,,,FT,100,EN SERVICE,4.381,6919
410526864,2007-01-01T00:00:00.000Z,2007,,,FT,100,EN SERVICE,44.749,6919
410526865,2007-01-01T00:00:00.000Z,2007,,,FT,100,EN SERVICE,3.539,6919
410526866,1965-01-01T00:00:00.000Z,1965,2015-05-19T22:00:00.000Z,2015,FTG,100,ABANDONNE,3.07,18400
410526867,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,2.764,22259
410526868,2008-01-01T00:00:00.000Z,2008,,,FT,100,EN SERVICE,3.144,6554
410527159,2005-01-01T00:00:00.000Z,2005,,,FT,100,EN SERVICE,58.592,7649
410527160,2005-01-01T00:00:00.000Z,2005,,,FT,100,EN SERVICE,3.551,7649
