GID,materiau,age_at_freeze,diametre,longueur,y_true,y_pred,y_score,prediction_type
410839203,FT,4.388774811772758,100.0,24.41,0,0,0.012366321070433096,TN
410839432,FTVI,4.878850102669404,100.0,4.935,0,0,0.006407280525284998,TN
417004147,FTG,52.884325804243666,60.0,25.613,0,1,0.7407590675905302,FP
417004149,FT,16.84873374401095,100.0,9.198,0,0,0.22334801990100306,TN
410828345,FTG,74.84736481861738,40.0,19.473,0,0,0.4546173225094406,TN
410829792,FT,35.84941820670773,300.0,476.025,0,0,0.00031512058517363644,TN
410828372,FT,57.84804928131417,100.0,2.013,0,1,0.8990596543271245,FP
410835617,FT,51.84941820670773,100.0,55.695,0,0,0.2745750720636113,TN
410832367,FT,6.324435318275154,100.0,23.247,0,0,0.024560845922294815,TN
410832368,FT,6.324435318275154,100.0,35.492,0,0,0.01188643965042598,TN
410832369,FT,6.324435318275154,100.0,31.012,0,0,0.010591813477922311,TN
410832370,FT,6.324435318275154,100.0,32.3,0,0,0.01188643965042598,TN
410832379,FT,6.324435318275154,100.0,49.678,0,0,0.008285198412874383,TN
410832381,FT,6.324435318275154,100.0,34.007,0,0,0.01188643965042598,TN
410832382,FT,6.324435318275154,100.0,23.051,0,0,0.024560845922294815,TN
410835618,FT,51.84941820670773,100.0,108.938,0,0,0.0958683320109421,TN
410835626,FT,4.446269678302532,150.0,41.75,0,0,0.012259563624045847,TN
410836929,PEHD,4.635181382614648,180.0,12.673,0,0,0.005101011085183703,TN
410833887,FT,10.015058179329227,100.0,55.56,0,0,0.009913974663496984,TN
410837009,FTVI,4.514715947980835,150.0,4.166,0,0,0.006876221430995237,TN
410837003,FTVI,4.479123887748118,100.0,0.552,0,0,0.014565761050946716,TN
410837038,FTVI,4.514715947980835,150.0,4.371,0,0,0.005051320681857194,TN
410837005,FTVI,4.479123887748118,100.0,12.47,0,0,0.002015871767006609,TN
410837006,FT,4.514715947980835,150.0,19.747,0,0,0.017039840351233522,TN
410837035,FT,4.479123887748118,100.0,2.537,0,0,0.08691071314931355,TN
410837008,FTVI,4.514715947980835,150.0,1.438,0,0,0.009734735573979202,TN
410837036,FTVI,4.479123887748118,100.0,2.775,0,0,0.011378822938643694,TN
410837011,FT,4.514715947980835,150.0,8.795,0,0,0.028518288958870864,TN
410837012,FT,4.514715947980835,100.0,2.295,0,0,0.08691071314931355,TN
410837013,FT,4.514715947980835,100.0,1.614,0,0,0.09518901545884298,TN
410837014,FT,4.514715947980835,100.0,0.467,0,0,0.04973849960466475,TN
410837037,FT,4.514715947980835,150.0,9.199,0,0,0.024804439439770325,TN
410837016,FTVI,4.514715947980835,150.0,29.085,0,0,0.0024565158507938575,TN
410829150,FT,7.745379876796714,125.0,0.528,0,0,0.18228133776675842,TN
410829151,FT,7.745379876796714,150.0,0.55,0,0,0.23092034220487856,TN
410829152,FT,58.847364818617386,100.0,8.832,0,1,0.6882898850228362,FP
410829155,FT,7.745379876796714,100.0,0.365,0,1,0.6117211563645443,FP
410829156,FT,7.745379876796714,100.0,1.761,0,0,0.1730306503353694,TN
417003978,POLY,63.84941820670773,20.0,3.896,0,0,0.2549533340675974,TN
417003977,POLY,63.84941820670773,20.0,80.375,0,0,0.027694855931020865,TN
417003979,POLY,63.84941820670773,20.0,139.331,0,0,0.0302047679662871,TN
410836122,FT,7.660506502395619,100.0,32.149,0,0,0.022796886437512494,TN
410836123,FTVI,7.660506502395619,100.0,2.666,0,0,0.03187052005829953,TN
410835575,FT,4.7939767282683095,150.0,1.502,0,0,0.14132361520184128,TN
410836124,FT,7.660506502395619,100.0,5.648,0,0,0.045687547856416336,TN
410835574,FT,4.8815879534565365,100.0,0.525,0,0,0.04973849960466475,TN
410832133,FT,10.847364818617386,150.0,7.525,0,0,0.19336019412687488,TN
410832408,FT,5.724845995893224,150.0,0.866,0,0,0.05130242497100597,TN
410832409,FT,5.724845995893224,150.0,65.974,0,0,0.009539371910457247,TN
410832410,FT,5.724845995893224,150.0,2.074,0,0,0.07769025534058294,TN
410832411,FT,5.724845995893224,150.0,1.195,0,0,0.08743876846022285,TN
410832412,FT,5.618069815195072,150.0,0.918,0,0,0.12799270904672633,TN
410832413,FT,5.618069815195072,150.0,1.765,0,0,0.0868394647094683,TN
410836520,FTVI,8.06570841889117,100.0,1.907,0,0,0.04912293506045132,TN
410832415,FTVI,5.724845995893224,150.0,4.084,0,0,0.0024446839673967586,TN
410835564,FTVI,4.3668720054757015,100.0,16.704,0,0,0.002360548796237186,TN
410837348,FT,4.057494866529774,300.0,0.221,0,1,0.8519430497333367,FP
416003993,FT,7.8494182067077345,100.0,25.518,0,0,0.013057316317022102,TN
416004467,FT,5.932922655715264,150.0,1.196,0,0,0.08743876846022285,TN
410854844,FT,5.932922655715264,150.0,18.251,0,0,0.018850701085274313,TN
410854843,FT,5.932922655715264,150.0,25.22,0,0,0.020576912569540383,TN
416004470,FT,5.932922655715264,150.0,4.707,0,0,0.06352753672846574,TN
410855268,FT,2.973305954825462,100.0,23.912,0,0,0.024439612657206487,TN
410855183,PEHD,4.041067761806982,63.0,26.21,0,0,0.0035418186847066134,TN
410855184,FT,4.041067761806982,40.0,0.303,0,1,0.6083460145155314,FP
