materiau,age_bin,n_total,fp_rate,fn_rate,total_error_rate
FTG,70-100,13345,53.855376545522674,0.11240164855751218,53.96777819408018
FTG,50-70,17343,49.05725653001211,0.12685233235311077,49.184108862365214
POLY,50-70,2575,43.96116504854369,0.03883495145631068,44.0
FT,50-70,16631,42.73946244964223,0.12025735073056341,42.8597198003728
POLY,70-100,296,25.0,0.0,25.0
