GID,materiau,age_at_freeze,diametre,longueur,y_proba
410000690,FT,46.847364818617386,150.0,1.197,0.8101149026674418
410000698,FT,60.84873374401095,100.0,9.645,0.7621089243658982
410001252,FT,35.84941820670773,150.0,2.054,0.8305462788112428
410000195,FTG,74.84736481861738,80.0,29.773,0.7701178661780252
410000706,FT,60.84873374401095,100.0,7.545,0.7428420415337165
410000708,FT,49.84804928131417,100.0,0.501,0.916615511482722
410000714,FTG,74.84736481861738,100.0,17.167,0.6017630704297205
410000716,FTG,74.84736481861738,100.0,11.803,0.5785423729506547
410000731,FTG,74.84736481861738,100.0,10.497,0.6611058670624599
410001270,FTG,74.84736481861738,60.0,27.608,0.8069576620862534
410001276,FTG,74.84736481861738,60.0,65.5,0.5897018078667408
410001279,FTG,74.84736481861738,100.0,10.28,0.685227979153597
410001283,FT,52.84873374401095,100.0,84.6,0.7053804663025613
410001284,FTG,74.84736481861738,100.0,10.31,0.685227979153597
410000219,FTG,74.84736481861738,100.0,27.909,0.6364225429526816
410000778,FT,37.84804928131417,100.0,6.673,0.5219748526122358
410000786,FT,34.847364818617386,200.0,1.122,0.7332712224030584
410000791,FTG,74.84736481861738,300.0,22.485,0.5112392538155888
410000799,FTG,74.84736481861738,80.0,22.454,0.7701178661780252
410000801,FTG,74.84736481861738,100.0,34.32,0.6385270248533501
410000805,FTG,74.84736481861738,80.0,31.445,0.7701178661780252
410001303,FT,59.84941820670773,300.0,27.187,0.6171212273821898
410001304,FT,59.84941820670773,300.0,4.827,0.51603936110025
410000818,FT,38.847364818617386,150.0,1.918,0.8573868737824422
410000821,FTG,74.84736481861738,100.0,6.328,0.6395841722140418
410000826,FT,41.84804928131417,100.0,3.06,0.5795880770505266
410000282,FTG,74.84736481861738,100.0,1.669,0.8476260262532809
410000909,FTG,74.84736481861738,100.0,8.862,0.6274319919164003
410000915,FT,56.84873374401095,300.0,4.488,0.6292469752216194
410001348,FTG,74.84736481861738,150.0,1.898,0.8753521782026513
410001349,FTG,118.84736481861738,150.0,3.688,0.653448551266211
410001352,FTG,74.84736481861738,100.0,13.961,0.5443747509461595
410001353,FTG,118.84736481861738,100.0,10.1,0.8231322052437702
410001358,FTG,74.84736481861738,100.0,16.247,0.6017630704297205
410001359,FT,52.84873374401095,200.0,103.366,0.6287830854212509
410001360,FT,52.84873374401095,200.0,132.452,0.6089247320291952
410001361,FT,52.84873374401095,100.0,38.611,0.8374982498341138
410001362,FTG,74.84736481861738,100.0,9.034,0.6678421382151996
410000305,FTG,74.84736481861738,100.0,177.377,0.6138577668443971
410000307,FT,40.84873374401095,100.0,1.32,0.8065813965224872
410000311,FT,39.84941820670773,200.0,1.632,0.6274776235856125
410000318,FTG,74.84736481861738,100.0,6.799,0.6395841722140418
410000319,FTG,74.84736481861738,60.0,79.742,0.6674458534646318
410000320,FTG,74.84736481861738,100.0,19.132,0.6338550885497487
410000335,FT,52.84873374401095,100.0,7.468,0.7503839620152948
410000943,FTG,74.84736481861738,150.0,39.091,0.606589731700916
410001384,FT,55.84941820670773,100.0,25.731,0.7356805193122676
410001385,FT,55.84941820670773,100.0,60.509,0.7418223193843131
410001391,FTG,118.84736481861738,200.0,2.963,0.7837464046811271
410000341,FTG,74.84736481861738,100.0,4.667,0.6853505030664284
410000348,FTG,74.84736481861738,100.0,165.017,0.6627226830247421
410000350,FTG,74.84736481861738,120.0,102.657,0.5969361985484324
410000351,FTG,74.84736481861738,120.0,173.591,0.6667769705182813
410000354,FTG,74.84736481861738,120.0,3.008,0.8760941054883438
410000359,FTG,74.84736481861738,120.0,8.275,0.7244664589227037
410000369,FTG,74.84736481861738,150.0,5.024,0.6385801509640419
410810774,FT,34.847364818617386,100.0,0.554,0.6669001561168065
410000955,FTG,74.84736481861738,150.0,12.49,0.6629704188100852
410000956,POLY,63.84941820670773,51.0,7.975,0.5890655652409283
410000968,FTG,74.84736481861738,150.0,22.013,0.7075136699820894
410000971,FTG,74.84736481861738,100.0,20.519,0.6364225429526816
410001394,FTG,74.84736481861738,100.0,5.582,0.6395841722140418
410001399,FTG,74.84736481861738,250.0,2.834,0.9151312068240713
410001400,FTG,74.84736481861738,250.0,4.419,0.7368395252764284
410001401,FTG,74.84736481861738,250.0,3.243,0.8115844545736078
410001408,FTG,74.84736481861738,100.0,4.15,0.8111429686402415
410000370,FTG,74.84736481861738,150.0,11.903,0.6319485309779
410000371,FTG,74.84736481861738,150.0,4.319,0.6029450697108635
410000372,FTG,74.84736481861738,150.0,9.622,0.7052323588238884
410000386,POLY,63.84941820670773,36.0,6.2,0.5397423157537956
410000387,FTG,74.84736481861738,60.0,7.224,0.8289059962516387
410000998,FTG,74.84736481861738,100.0,13.356,0.5443747509461595
410001006,FT,60.84873374401095,200.0,30.648,0.7268914963416613
410001007,FT,60.84873374401095,200.0,21.829,0.6172904565924325
410001419,FTG,74.84736481861738,60.0,15.491,0.699141799757778
410001422,FTG,74.84736481861738,100.0,8.72,0.6671595339421663
410001425,FT,55.84941820670773,100.0,20.116,0.7414386642815215
410001428,FT,59.84941820670773,100.0,3.789,0.6523889779446697
410001430,FTG,74.84736481861738,80.0,32.125,0.7701178661780252
410001431,FTG,74.84736481861738,80.0,16.299,0.7544942376223477
410000398,FT,29.848049281314168,100.0,1.137,0.768781056674393
410000399,FT,29.848049281314168,100.0,1.331,0.768781056674393
410000401,FTG,74.84736481861738,100.0,28.639,0.6059405520042896
410000404,FTG,74.84736481861738,100.0,99.228,0.5538897471721086
410000408,FTG,74.84736481861738,100.0,5.733,0.6395841722140418
410000409,FTG,74.84736481861738,80.0,81.877,0.8486011441912716
410000422,FT,42.847364818617386,150.0,1.114,0.8807983155528926
410001008,FT,60.84873374401095,200.0,35.799,0.5594077753237199
410967586,FTG,61.84804928131417,150.0,17.694,0.7215184774096541
410001018,FTG,74.84736481861738,100.0,8.101,0.6044994686680444
410000017,FT,56.84873374401095,300.0,131.681,0.5791164417728873
410000423,FT,42.847364818617386,150.0,2.924,0.6380472045323796
410000427,FT,37.84804928131417,150.0,3.309,0.7578479984654275
410000428,FT,37.84804928131417,150.0,4.328,0.6784317059234518
410000429,FT,37.84804928131417,150.0,1.102,0.8931688356999917
410000441,FTG,74.84736481861738,100.0,25.442,0.6364225429526816
410001037,FTG,74.84736481861738,80.0,10.62,0.6566680886618415
410001071,FT,43.84941820670773,250.0,2.777,0.5277348412811029
410000455,FTG,74.84736481861738,100.0,11.094,0.5785423729506547
410000456,FTG,74.84736481861738,100.0,6.22,0.6395841722140418
410000457,FTG,74.84736481861738,60.0,3.659,0.8263291252087115
410000458,FTG,74.84736481861738,60.0,12.397,0.5832395711201688
410000459,FTG,74.84736481861738,60.0,1.927,0.8585474288745902
410000460,POLY,63.84941820670773,36.0,6.875,0.5397423157537956
410000461,FTG,74.84736481861738,60.0,22.053,0.7946236865215658
410000473,FT,34.847364818617386,200.0,1.122,0.7332712224030584
410000478,FTG,74.84736481861738,300.0,5.492,0.5177285974570132
410000480,FTG,74.84736481861738,300.0,0.977,0.8714289515500218
410000481,FTG,74.84736481861738,300.0,3.215,0.5732141022742263
