decile_label,n,population_pct,events,event_rate,capture_cum,score_min,score_max
1,3573,0.09997481742634097,1,0.000279876854184159,1.0,1.931941810359482e-05,0.004051318365581704
2,3574,0.10000279806373989,2,0.0005595970900951316,0.9974747474747475,0.004054071965068981,0.01290637746085852
3,3574,0.10000279806373989,6,0.0016787912702853946,0.9924242424242424,0.01290637746085852,0.02951065904436753
4,3574,0.10000279806373989,5,0.0013989927252378287,0.9772727272727273,0.02951065904436753,0.06534045185160543
5,3574,0.10000279806373989,8,0.002238388360380526,0.9646464646464646,0.06534913160601731,0.1044524839002077
6,3574,0.10000279806373989,14,0.00391717963066592,0.9444444444444444,0.10447935144593427,0.1740721164668637
7,3574,0.10000279806373989,23,0.006435366536094013,0.9090909090909091,0.1740721164668637,0.28482968882569704
8,3574,0.10000279806373989,36,0.010072747621712367,0.851010101010101,0.28482968882569704,0.463482173604633
9,3574,0.10000279806373989,63,0.017627308337996642,0.76010101010101,0.463482173604633,0.684074555808544
10,3574,0.10000279806373989,238,0.06659205372132065,0.601010101010101,0.6842713602669948,0.9755836546958148
