materiau,n_total,events,event_rate,events_captured,capture_10pct,fn_rate,avg_score
FT,19311,207,0.010719279167313966,139,0.6714975845410628,0.3285024154589372,0.2153524409814126
FTG,8546,161,0.01883922302831734,91,0.5652173913043478,0.4347826086956522,0.39461296744442964
POLY,1224,11,0.008986928104575163,6,0.5454545454545454,0.4545454545454546,0.2453318846034876
PEHD,1553,6,0.0038634900193174502,0,0.0,1.0,0.04543998232885005
FTVI,2259,3,0.0013280212483399733,0,0.0,1.0,0.04723709002713419
PVC,719,3,0.004172461752433936,0,0.0,1.0,0.04235777199572591
BTM,432,3,0.006944444444444444,2,0.6666666666666666,0.33333333333333337,0.03546204649547484
ACIE,286,1,0.0034965034965034965,0,0.0,1.0,0.05377524180412731
FTTT,62,1,0.016129032258064516,0,0.0,1.0,0.02483567371917846
