Model,ROC_AUC,Lift_5,Lift_10,Lift_20,Cap_5,Cap_10,Cap_20,Brier,ECE,FN,FP
M0_baseline,0.863985110420048,8.787878787878787,5.883838383838383,3.7373737373737375,0.4393939393939394,0.5883838383838383,0.7474747474747475,0.11706201509379441,0.2176042808355032,163,3341
M1c_competing,0.9152011959997945,9.949494949494948,6.666666666666666,4.103535353535353,0.49747474747474746,0.6666666666666666,0.8207070707070707,0.01018010524247232,0.0013648212734296383,132,3310
M2b_raw,0.8587385169078807,8.928571428571429,6.07142857142857,3.877551020408163,0.44642857142857145,0.6071428571428571,0.7755102040816326,0.1301494530161753,0.23347682737616532,154,3336
