Model,ROC_AUC,Lift@5%,Lift@10%,Lift@20%,Cap@10%,Brier,ECE,FN,FP
M0_baseline,0.863985110420048,8.787878787878787,5.883838383838383,3.7373737373737375,0.5883838383838383,0.11706201509379441,0.2176042808355032,163,3341
M1_competing,0.8484063608098071,9.747474747474746,6.161616161616161,3.813131313131313,0.6161616161616161,0.0100620477929625,0.0012907659917716196,152,3330
M2_mono_clean,0.815079322209447,7.121212121212121,4.924242424242424,3.4217171717171717,0.49242424242424243,0.1344563261441345,0.22828415262484253,201,3379
M3_mono_reg,0.8127707771201533,6.96969696969697,4.722222222222221,3.472222222222222,0.4722222222222222,0.14965356941673474,0.2583668486520217,209,3387
M4_competing_iso,0.8490519460513519,9.696969696969697,6.212121212121212,3.8257575757575757,0.6212121212121212,0.010393360193229517,0.004502458549350418,150,3328
M5_mono_iso,0.8108980761981357,7.07070707070707,4.873737373737373,3.4469696969696972,0.48737373737373735,0.010580323199035358,0.001771141536047269,203,3381
