MAT,median_life,mean_life,p25_life,p75_life,p90_life,n_failed
A.C,57.921971252566735,66.46815674982496,52.94455852156057,59.997262149212865,114.89117043121149,87
ACIE,52.98562628336756,51.382253972547716,42.701574264202605,56.98699520876112,71.22245037645449,334
AFCO,48.1368925393566,50.46036155735395,47.38672142368241,53.57152635181382,58.32443531827516,17
AUTRE,107.90965092402465,107.89979466119095,107.90965092402465,107.90965092402465,122.83175906913073,40
BA,118.3874058863792,118.3874058863792,118.3874058863792,118.3874058863792,118.3874058863792,4
BIOR,2.8966461327857633,5.376641154875241,2.8966461327857633,6.828199863107461,7.8959616700889805,22
BTM,51.931553730321696,46.63592325186019,34.49007529089665,59.17316906228611,61.4757015742642,310
CENT,45.894592744695416,36.39493497604381,36.39493497604381,45.894592744695416,45.894592744695416,4
COMP,44.38603696098563,44.43826672984783,44.38603696098563,44.38603696098563,45.9958932238193,13
CUIT,113.82340862422998,113.82340862422998,113.82340862422998,113.82340862422998,113.82340862422998,2
FER,53.31416837782341,48.483873220746204,52.11225188227242,57.06228610540725,60.06297056810404,49
FT,27.09924709103354,28.22304795075829,9.36892539356605,45.47022587268994,53.234223134839155,11060
FTBLU,3.0937713894592744,3.0937713894592744,3.0937713894592744,3.0937713894592744,3.0937713894592744,1
FTG,60.40246406570842,61.63513545789799,55.85215605749487,66.41204654346338,72.49007529089664,15217
FTTT,0.8213552361396304,1.0352987190769531,0.8213552361396304,1.434633812457221,1.434633812457221,7
FTVI,2.5338809034907595,5.202002053388091,1.2902121834360027,4.728268309377139,7.255304585900069,160
GALV,9.894592744695414,9.894592744695414,9.894592744695414,9.894592744695414,9.894592744695414,1
PB,35.97535934291581,57.68361718403994,35.24435318275154,80.13415468856947,113.61478439425052,17
PEBD,63.17043121149897,76.66584531143053,47.83025325119781,118.9596167008898,118.9596167008898,5
PEHD,10.536618754277892,20.83501150392123,3.89596167008898,27.78028747433265,45.894592744695416,664
POLY,45.894592744695416,41.89649284593032,29.532511978097194,54.997946611909654,62.220396988364136,1670
PVC,47.964407939767284,43.615008675754105,36.46817248459959,54.997946611909654,56.182340862423,542
VP,38.43394934976044,42.215048628686944,35.318275154004105,49.719370294318956,67.64298425735804,43
