MAT,median_life,mean_life,p25_life,p75_life,p90_life,n_failed
A.C,58.42573579739904,65.51751602264949,50.134154688569474,59.997262149212865,114.15195071868582,66
ACIE,51.3429158110883,47.31706191032197,41.568788501026695,54.997946611909654,64.76933607118411,255
AFCO,47.38672142368241,46.385763175906916,45.19917864476386,48.13210130047912,48.16317590691307,10
AUTRE,107.90965092402465,108.26394592744695,107.90965092402465,107.90965092402465,107.90965092402465,32
BA,118.3874058863792,118.3874058863792,118.3874058863792,118.3874058863792,118.3874058863792,4
BIOR,2.8966461327857633,5.376641154875241,2.8966461327857633,6.828199863107461,7.8959616700889805,22
BTM,43.87405886379192,42.56017326867892,29.541409993155373,59.17316906228611,60.38603696098563,213
CENT,45.894592744695416,36.39493497604381,36.39493497604381,45.894592744695416,45.894592744695416,4
COMP,44.38603696098563,44.43826672984783,44.38603696098563,44.38603696098563,45.9958932238193,13
CUIT,113.82340862422998,113.82340862422998,113.82340862422998,113.82340862422998,113.82340862422998,2
FER,52.52292950034223,47.186084575781926,47.89048596851472,54.95482546201232,59.96167008898015,46
FT,22.11362080766598,24.395037422372912,7.8959616700889805,40.016427104722794,48.53388090349076,8131
FTG,58.85284052019165,59.87359246149066,54.997946611909654,63.92881587953457,68.64065708418892,12251
FTVI,1.5756331279945242,1.9747889573351587,0.945927446954141,2.7180013689253935,3.977002053388091,48
GALV,9.894592744695414,9.894592744695414,9.894592744695414,9.894592744695414,9.894592744695414,1
PB,35.97535934291581,57.68361718403994,35.24435318275154,80.13415468856947,113.61478439425052,17
PEBD,118.9596167008898,95.2498288843258,83.3949349760438,118.9596167008898,118.9596167008898,3
PEHD,10.896646132785763,20.5987021442523,3.997262149212868,28.95482546201232,45.894592744695416,574
POLY,44.473648186173854,39.14457881667542,19.867898699520875,51.23066392881588,57.86858316221766,1376
PVC,47.38672142368241,41.387581389634775,35.47022587268994,54.997946611909654,54.997946611909654,468
VP,37.85352498288843,41.65222450376454,34.95756331279945,47.437371663244356,70.62149212867898,40
